office,year,party,roster_n,valid_url_n,captured_n,capture_pct_validurl
house,2018,D,1669,1606,1019,63.4
house,2018,R,1369,1325,739,55.8
house,2020,D,1619,1563,946,60.5
house,2020,R,1536,1492,934,62.6
house,2022,D,1632,1584,1018,64.3
house,2022,R,1937,1883,1236,65.6
house,2024,D,1617,1567,842,53.7
house,2024,R,1846,1791,935,52.2
senate,2002,D,35,33,13,39.4
senate,2002,R,37,36,17,47.2
senate,2004,D,55,53,32,60.4
senate,2004,R,75,73,49,67.1
senate,2006,D,97,95,56,58.9
senate,2006,R,118,116,76,65.5
senate,2008,D,144,141,108,76.6
senate,2008,R,140,136,92,67.6
senate,2010,D,182,178,98,55.1
senate,2010,R,227,221,124,56.1
senate,2012,D,168,162,99,61.1
senate,2012,R,262,252,158,62.7
senate,2014,D,180,175,115,65.7
senate,2014,R,313,301,208,69.1
senate,2016,D,198,193,124,64.2
senate,2016,R,313,301,173,57.5
senate,2018,D,210,202,101,50.0
senate,2018,R,351,339,164,48.4
senate,2020,D,255,249,158,63.5
senate,2020,R,317,309,163,52.8
senate,2022,D,285,276,186,67.4
senate,2022,R,408,399,249,62.4
senate,2024,D,292,284,165,58.1
senate,2024,R,415,404,196,48.5
