office,year,state,roster_n,captured_n,capture_pct
house,2018,AK,8,6,75.0
house,2018,AL,36,24,66.7
house,2018,AR,20,13,65.0
house,2018,AZ,100,60,60.0
house,2018,CA,279,165,59.1
house,2018,CO,61,35,57.4
house,2018,CT,29,15,51.7
house,2018,DC,4,2,50.0
house,2018,DE,10,5,50.0
house,2018,FL,226,121,53.5
house,2018,GA,93,59,63.4
house,2018,GU,3,0,0.0
house,2018,HI,20,11,55.0
house,2018,IA,34,21,61.8
house,2018,ID,15,10,66.7
house,2018,IL,120,68,56.7
house,2018,IN,71,41,57.7
house,2018,KS,39,27,69.2
house,2018,KY,26,18,69.2
house,2018,LA,41,23,56.1
house,2018,MA,50,24,48.0
house,2018,MD,67,36,53.7
house,2018,ME,12,8,66.7
house,2018,MI,93,53,57.0
house,2018,MN,60,45,75.0
house,2018,MO,47,25,53.2
house,2018,MS,21,8,38.1
house,2018,MT,15,11,73.3
house,2018,NC,102,52,51.0
house,2018,ND,7,4,57.1
house,2018,NE,13,7,53.8
house,2018,NH,30,19,63.3
house,2018,NJ,70,45,64.3
house,2018,NM,27,18,66.7
house,2018,NV,48,28,58.3
house,2018,NY,177,94,53.1
house,2018,OH,102,62,60.8
house,2018,OK,43,21,48.8
house,2018,OR,25,19,76.0
house,2018,PA,146,97,66.4
house,2018,RI,9,3,33.3
house,2018,SC,56,37,66.1
house,2018,SD,6,4,66.7
house,2018,TN,69,32,46.4
house,2018,TX,262,154,58.8
house,2018,UT,29,14,48.3
house,2018,VA,89,54,60.7
house,2018,VI,3,1,33.3
house,2018,VT,2,1,50.0
house,2018,WA,60,41,68.3
house,2018,WI,34,20,58.8
house,2018,WV,23,3,13.0
house,2018,WY,6,1,16.7
house,2020,AK,5,3,60.0
house,2020,AL,35,22,62.9
house,2020,AR,21,12,57.1
house,2020,AS,1,0,0.0
house,2020,AZ,85,50,58.8
house,2020,CA,288,176,61.1
house,2020,CO,42,23,54.8
house,2020,CT,29,18,62.1
house,2020,DC,3,2,66.7
house,2020,DE,5,4,80.0
house,2020,FL,228,120,52.6
house,2020,GA,114,71,62.3
house,2020,GU,4,0,0.0
house,2020,HI,25,11,44.0
house,2020,IA,33,22,66.7
house,2020,ID,9,7,77.8
house,2020,IL,101,63,62.4
house,2020,IN,82,48,58.5
house,2020,KS,36,19,52.8
house,2020,KY,23,13,56.5
house,2020,LA,36,21,58.3
