office,year,page_type,n_rows,pct_of_rows
house,2018,other,214863,55.9
house,2018,homepage,73859,19.2
house,2018,news,39867,10.4
house,2018,issues,22101,5.8
house,2018,action,16597,4.3
house,2018,biography,9792,2.5
house,2018,endorsements,4519,1.2
house,2018,constituent_services,2505,0.7
house,2020,other,113410,43.9
house,2020,homepage,59704,23.1
house,2020,issues,22777,8.8
house,2020,news,22173,8.6
house,2020,action,18468,7.2
house,2020,biography,14198,5.5
house,2020,endorsements,6379,2.5
house,2020,constituent_services,965,0.4
house,2022,other,23135,50.1
house,2022,homepage,8528,18.5
house,2022,news,3993,8.7
house,2022,issues,3989,8.6
house,2022,action,2838,6.1
house,2022,biography,2462,5.3
house,2022,endorsements,1065,2.3
house,2022,constituent_services,148,0.3
house,2024,other,20989,53.6
house,2024,homepage,7013,17.9
house,2024,issues,3328,8.5
house,2024,news,2718,6.9
house,2024,action,2101,5.4
house,2024,biography,2056,5.3
house,2024,endorsements,857,2.2
house,2024,constituent_services,90,0.2
senate,2002,other,5837,74.1
senate,2002,homepage,1120,14.2
senate,2002,news,344,4.4
senate,2002,issues,231,2.9
senate,2002,action,150,1.9
senate,2002,biography,103,1.3
senate,2002,endorsements,84,1.1
senate,2002,constituent_services,12,0.2
senate,2004,other,17535,77.7
senate,2004,homepage,2330,10.3
senate,2004,news,1318,5.8
senate,2004,issues,776,3.4
senate,2004,constituent_services,197,0.9
senate,2004,action,182,0.8
senate,2004,biography,174,0.8
senate,2004,endorsements,66,0.3
senate,2006,other,32120,57.1
senate,2006,homepage,12891,22.9
senate,2006,news,4655,8.3
senate,2006,issues,2978,5.3
senate,2006,constituent_services,1631,2.9
senate,2006,biography,1277,2.3
senate,2006,action,606,1.1
senate,2006,endorsements,79,0.1
senate,2008,other,38723,63.7
senate,2008,homepage,15630,25.7
senate,2008,news,2878,4.7
senate,2008,action,1037,1.7
senate,2008,biography,958,1.6
senate,2008,issues,673,1.1
senate,2008,constituent_services,626,1.0
senate,2008,endorsements,239,0.4
senate,2010,other,24100,56.3
senate,2010,homepage,5646,13.2
senate,2010,news,4724,11.0
senate,2010,issues,4404,10.3
senate,2010,action,1694,4.0
senate,2010,constituent_services,1181,2.8
senate,2010,biography,755,1.8
senate,2010,endorsements,293,0.7
senate,2012,other,20252,55.8
senate,2012,homepage,7316,20.2
senate,2012,news,4607,12.7
senate,2012,issues,1541,4.2
senate,2012,action,1447,4.0
senate,2012,biography,1051,2.9
senate,2012,endorsements,72,0.2
senate,2012,constituent_services,16,0.0
senate,2014,other,41282,46.4
senate,2014,issues,15548,17.5
senate,2014,news,11108,12.5
senate,2014,homepage,10480,11.8
senate,2014,action,6137,6.9
senate,2014,biography,2931,3.3
senate,2014,constituent_services,1277,1.4
senate,2014,endorsements,131,0.1
senate,2016,other,19422,42.8
senate,2016,news,13015,28.7
senate,2016,homepage,5110,11.3
senate,2016,issues,4179,9.2
senate,2016,action,2227,4.9
senate,2016,biography,1230,2.7
senate,2016,constituent_services,76,0.2
senate,2016,endorsements,67,0.1
senate,2018,other,2497,48.4
senate,2018,homepage,1171,22.7
senate,2018,issues,526,10.2
senate,2018,news,405,7.9
senate,2018,action,306,5.9
senate,2018,biography,222,4.3
senate,2018,endorsements,29,0.6
senate,2020,other,11582,47.2
senate,2020,homepage,4099,16.7
senate,2020,issues,2787,11.3
senate,2020,news,2596,10.6
senate,2020,action,1660,6.8
senate,2020,biography,1398,5.7
senate,2020,endorsements,412,1.7
senate,2020,constituent_services,26,0.1
senate,2022,other,19255,51.3
senate,2022,homepage,5699,15.2
senate,2022,news,3896,10.4
senate,2022,issues,3726,9.9
senate,2022,action,2229,5.9
senate,2022,biography,2171,5.8
senate,2022,endorsements,553,1.5
senate,2022,constituent_services,1,0.0
senate,2024,other,10642,53.0
senate,2024,homepage,2673,13.3
senate,2024,news,1719,8.6
senate,2024,constituent_services,1639,8.2
senate,2024,issues,1371,6.8
senate,2024,biography,1091,5.4
senate,2024,action,745,3.7
senate,2024,endorsements,190,0.9
