office,year,roster_n,valid_url_n,valid_url_pct,captured_n,capture_pct_roster,capture_pct_validurl,no_url_n,valid_no_capture_n,page_rows,unique_cands,total_snaps,snaps_per_cand_med,snaps_per_cand_mean,snaps_per_cand_max,pages_per_snap_med,pages_per_snap_mean,nchar_med,nchar_mean,nchar_max,pct_lt50,pct_empty,cjk_mode,cjk_pct,prog_present,prog_complete,prog_error,dup_rows,dates_out_of_window,schema_ok,date_min,date_max
house,2018,3038,2931,96.5,1765,58.1,60.2,107,1173,384103,1765,43526,8.0,24.66,9299,2.6666666666666665,5.16,3342.0,5590,430130,0.24,0.0,sample,0.0,True,59339,0,21,0,True,20180101000001,20181231232441
house,2020,3155,3055,96.8,1880,59.6,61.5,100,1176,258074,1880,42585,7.0,22.65,9552,4.0,6.35,2645.0,4740,1034278,0.23,0.0,sample,0.0,True,36299,0,135,0,True,20200101000525,20201231234341
house,2022,3569,3467,97.1,2253,63.1,65.0,102,1214,46158,2253,7194,4.0,3.19,10,3.4,5.78,2371.0,4110,988815,0.3,0.0,sample,0.0,True,7534,0,10,0,True,20220101140049,20221231230046
house,2024,3463,3358,97.0,1777,51.3,52.9,105,1581,39152,1777,5893,4.0,3.32,8,3.6666666666666665,6.1,2748.0,5399,1412259,0.35,0.0,sample,0.0,True,6434,0,42,0,True,20240102134006,20241231233426
senate,2002,72,69,95.8,31,43.1,44.9,3,39,7881,31,1103,12.0,35.58,226,8.80952380952381,9.06,1441.0,2355,23402,0.38,0.0,sample,0.0,True,1540,0,0,0,True,20020118025400,20021207094549
senate,2004,130,126,96.9,81,62.3,64.3,4,45,22578,81,1949,15.0,24.06,265,4.0,7.88,2911.0,6140,385923,0.93,0.0,sample,0.0,True,2152,0,0,0,True,20040101010848,20041231090811
senate,2006,215,211,98.1,132,61.4,62.6,4,79,56237,132,4695,18.5,35.57,224,4.0,8.75,2803.0,4964,260985,0.04,0.0,sample,0.0,True,4870,0,11,0,True,20060101000054,20061231215314
senate,2008,284,277,97.5,200,70.4,72.2,7,77,60764,200,4359,6.0,21.8,447,2.986842105263158,7.1,3342.0,6223,274250,0.53,0.0,sample,0.0,True,4484,0,0,0,True,20080101161435,20081231062231
senate,2010,409,399,97.6,223,54.5,55.9,10,177,42797,223,2823,5.0,12.66,154,2.2666666666666666,7.0,3013.0,4485,123396,0.04,0.0,sample,0.0,True,3334,0,0,0,True,20100101083150,20101231213336
senate,2012,430,414,96.3,257,59.8,62.1,16,157,36302,257,3791,8.0,14.75,189,3.0,7.26,3006.0,4314,98632,0.26,0.0,sample,0.0,True,4244,0,0,0,True,20120101014728,20121230164051
senate,2014,493,476,96.6,323,65.5,67.9,17,153,88894,323,7989,10.0,24.73,368,3.6153846153846154,7.28,2492.5,3677,249627,0.23,0.0,sample,0.599,True,9027,0,0,0,True,20140101003617,20141231180655
senate,2016,511,494,96.7,297,58.1,60.1,17,197,45326,297,4126,5.0,13.89,450,4.0,7.12,2578.0,3577,180985,0.3,0.0,sample,0.0,True,4632,0,0,0,True,20160101165408,20161231101555
senate,2018,561,541,96.4,265,47.2,49.0,20,276,5156,265,937,3.0,3.54,13,2.0,5.32,2466.0,4461,190631,0.39,0.0,sample,0.0,True,1061,0,0,0,True,20180101103512,20181231230832
senate,2020,572,558,97.6,321,56.1,57.5,14,237,24560,321,3156,4.0,9.83,146,4.0,7.46,2654.0,4486,60424,0.85,0.0,sample,0.0,True,3670,0,0,0,True,20200101040549,20201231225747
senate,2022,693,675,97.4,435,62.8,64.4,18,240,37530,435,4650,4.0,10.69,260,4.0,6.84,2515.0,3848,79353,0.83,0.0,sample,0.0,True,4804,0,0,0,True,20220101050922,20221231214557
senate,2024,707,688,97.3,361,51.1,52.5,19,327,20070,361,2224,4.0,6.16,190,5.0,7.91,2617.0,4794,661658,0.15,0.0,sample,0.0,True,2676,0,0,0,True,20240101074000,20241231233403
