office,year,month,n_snapshots,n_candidates
house,2018,01,6454,851
house,2018,02,3050,631
house,2018,03,4420,887
house,2018,04,3609,806
house,2018,05,1314,637
house,2018,06,1802,760
house,2018,07,1796,808
house,2018,08,2758,1163
house,2018,09,2020,621
house,2018,10,7099,841
house,2018,11,6472,1147
house,2018,12,2732,633
house,2020,01,8126,407
house,2020,02,2946,466
house,2020,03,795,472
house,2020,04,1245,613
house,2020,05,1155,516
house,2020,06,1447,681
house,2020,07,1332,606
house,2020,08,2353,907
house,2020,09,3031,1260
house,2020,10,4213,912
house,2020,11,13563,1233
house,2020,12,2375,893
house,2022,01,267,259
house,2022,02,205,203
house,2022,03,1539,1501
house,2022,04,129,126
house,2022,05,513,498
house,2022,06,1153,1138
house,2022,07,154,152
house,2022,08,543,528
house,2022,09,910,895
house,2022,10,69,67
house,2022,11,654,625
house,2022,12,1058,1021
house,2024,01,50,49
house,2024,02,549,531
house,2024,03,914,882
house,2024,04,105,102
house,2024,05,329,322
house,2024,06,1113,1073
house,2024,07,108,104
house,2024,08,278,272
house,2024,09,1066,1044
house,2024,10,52,51
house,2024,11,356,352
house,2024,12,973,952
senate,2002,01,17,15
senate,2002,03,11,11
senate,2002,04,3,3
senate,2002,05,27,17
senate,2002,06,18,13
senate,2002,07,80,15
senate,2002,08,137,15
senate,2002,09,194,22
senate,2002,10,143,15
senate,2002,11,459,25
senate,2002,12,14,11
senate,2004,01,92,38
senate,2004,02,76,31
senate,2004,03,98,49
senate,2004,04,81,48
senate,2004,05,103,54
senate,2004,06,247,62
senate,2004,07,122,41
senate,2004,08,174,57
senate,2004,09,343,63
senate,2004,10,194,34
senate,2004,11,253,46
senate,2004,12,166,43
senate,2006,01,1204,72
senate,2006,02,298,82
senate,2006,03,122,35
senate,2006,04,338,86
senate,2006,05,154,63
senate,2006,06,301,94
senate,2006,07,322,78
senate,2006,08,405,92
senate,2006,09,239,57
senate,2006,10,468,79
senate,2006,11,500,57
senate,2006,12,344,76
senate,2008,01,197,82
senate,2008,02,204,92
senate,2008,03,167,84
senate,2008,04,175,80
senate,2008,05,368,156
senate,2008,06,194,79
senate,2008,07,593,75
senate,2008,08,597,67
senate,2008,09,587,99
senate,2008,10,693,100
senate,2008,11,401,71
senate,2008,12,183,73
senate,2010,01,208,102
senate,2010,02,197,92
senate,2010,03,246,121
senate,2010,04,162,76
senate,2010,05,204,107
senate,2010,06,134,63
senate,2010,07,207,80
senate,2010,08,292,85
senate,2010,09,96,61
senate,2010,10,516,83
senate,2010,11,335,80
senate,2010,12,226,75
senate,2012,01,710,154
senate,2012,02,511,147
senate,2012,03,385,157
senate,2012,04,282,155
senate,2012,05,335,134
senate,2012,06,233,118
senate,2012,07,236,112
senate,2012,08,283,115
senate,2012,09,196,80
senate,2012,10,295,102
senate,2012,11,205,103
senate,2012,12,120,61
senate,2014,01,680,209
senate,2014,02,710,189
senate,2014,03,719,162
senate,2014,04,578,170
senate,2014,05,777,211
senate,2014,06,598,130
senate,2014,07,609,141
senate,2014,08,500,117
senate,2014,09,476,92
senate,2014,10,1004,150
senate,2014,11,925,113
senate,2014,12,413,223
senate,2016,01,207,77
senate,2016,02,496,65
senate,2016,03,883,217
senate,2016,04,185,81
senate,2016,05,177,97
senate,2016,06,303,153
senate,2016,07,201,62
senate,2016,08,270,91
senate,2016,09,443,161
senate,2016,10,442,124
senate,2016,11,291,89
senate,2016,12,228,112
senate,2018,01,60,57
senate,2018,02,41,37
senate,2018,03,146,117
senate,2018,04,41,39
senate,2018,05,29,27
senate,2018,06,139,118
senate,2018,07,11,11
senate,2018,08,140,129
senate,2018,09,96,86
senate,2018,10,12,12
senate,2018,11,113,104
senate,2018,12,109,96
senate,2020,01,82,59
senate,2020,02,124,84
senate,2020,03,157,105
senate,2020,04,115,63
senate,2020,05,114,56
senate,2020,06,232,161
senate,2020,07,116,45
senate,2020,08,187,72
senate,2020,09,397,226
senate,2020,10,299,53
senate,2020,11,995,136
senate,2020,12,338,179
senate,2022,01,350,134
senate,2022,02,231,83
senate,2022,03,543,298
senate,2022,04,188,70
senate,2022,05,417,158
senate,2022,06,391,259
senate,2022,07,262,90
senate,2022,08,318,155
senate,2022,09,392,213
senate,2022,10,351,84
senate,2022,11,822,159
senate,2022,12,385,239
senate,2024,01,53,27
senate,2024,02,165,113
senate,2024,03,288,214
senate,2024,04,119,46
senate,2024,05,151,71
senate,2024,06,297,241
senate,2024,07,122,38
senate,2024,08,186,57
senate,2024,09,306,235
senate,2024,10,75,25
senate,2024,11,217,83
senate,2024,12,245,208
