candidate,state,district,office,year,party,district_i,cand_id,fec_raw_name,cand_ici,bonica_rid,ICPSR,NID,cfscore,seat,lname,fname,cfscore_dyn,dwnom1,dwnom2,dime_district,dime_ico,candidate_icpsr,name_key,party_full,stage,data_source,district_id,candidate_year_stage,on_ballot,general_votes
Letitia Plummer,TX,22.0,house,2018,D,22.0,H8TX22206,"PLUMMER, LETITIA",C,cand140755,H8TX222062018,NH8TX22206,-0.872,federal:house,plummer,letitia,-0.872,,,TX22,C,"Plummer, Letitia",plummer_letitia,democrat,2,general_wayback,TX22,"Plummer, Letitia_2018_2",False,
John Biggan,TX,24.0,house,2018,D,24.0,H8TX24111,"BIGGAN, JOHN",C,cand142791,H8TX241112020,NH8TX24111,-1.055,federal:house,biggan,john,-0.981,,,TX24,C,"Biggan, John",biggan_john,democrat,2,general_wayback,TX24,"Biggan, John_2018_2",False,
John Meyer,MT,0.0,house,2018,D,0.0,H8MT01265,"MEYER, JOHN",C,,,,,,,,,,,,,"Meyer, John",meyer_john,democrat,2,general_wayback,MT01,"Meyer, John_2018_2",False,
James Lloyd Matlock,TN,2.0,house,2018,R,2.0,H8TN02127,"MATLOCK, JAMES LLOYD",O,cand141690,H8TN021272018,NH8TN02127,1.274,federal:house,matlock,james,1.274,,,TN02,C,"Matlock, James Lloyd",matlock_james,republican,2,general_wayback,TN02,"Matlock, James Lloyd_2018_2",False,
Tahirah Amatul-Wadud,MA,1.0,house,2018,D,1.0,H8MA01050,"AMATUL-WADUD, TAHIRAH",C,cand143179,H8MA010502018,NH8MA01050,-1.329,federal:house,amatul wadud,tahirah,-1.329,,,MA01,C,"Amatul-Wadud, Tahirah",amatulwadud_tahirah,democrat,2,general_wayback,MA01,"Amatul-Wadud, Tahirah_2018_2",False,
Mark Eugene Eugene Amodei,NV,2.0,house,2018,R,2.0,H2NV02395,"AMODEI, MARK EUGENE EUGENE",I,cand1184,H2NV023952022,N00031177,1.018,federal:house,amodei,mark,1.071,0.387,0.194,NV02,I,"Amodei, Mark Eugene Eugene",amodei_mark,republican,2,general_wayback,NV02,"Amodei, Mark Eugene Eugene_2018_2",True,167435
Stuart Starr,TN,2.0,house,2018,D,2.0,H6TN02147,"STARR, STUART",C,cand138248,H6TN021472016,NH6TN02147,-1.259,federal:house,starr,stuart,,,,,,"Starr, Stuart",starr_stuart,democrat,2,general_wayback,TN02,"Starr, Stuart_2018_2",False,
Michelle Mortensen,NV,3.0,house,2018,R,3.0,H8NV03218,"MORTENSEN, MICHELLE",O,cand142580,H8NV032182018,NH8NV03218,1.226,federal:house,mortensen,michelle,0.308,,,NV03,O,"Mortensen, Michelle",mortensen_michelle,republican,2,general_wayback,NV03,"Mortensen, Michelle_2018_2",False,
Wendy May,NC,2.0,house,2018,D,2.0,H8NC02078,"MAY, WENDY",C,cand141160,H8NC020782018,NH8NC02078,-1.143,federal:house,may,wendy,-1.143,,,NC02,C,"May, Wendy",may_wendy,democrat,2,general_wayback,NC02,"May, Wendy_2018_2",False,
Sheryl Francys Alu Campagna,HI,2.0,house,2018,D,2.0,H8HI02133,"ALU CAMPAGNA, SHERYL FRANCYS",C,cand142464,H8HI021332018,NH8HI02133,-1.001,federal:house,campagna,sheryl,-1.001,,,HI02,C,"Alu Campagna, Sheryl Francys",alucampagna_sheryl,democrat,2,general_wayback,HI02,"Alu Campagna, Sheryl Francys_2018_2",False,
Michael Nesmith,GA,12.0,house,2018,D,12.0,H8GA12052,"NESMITH, MICHAEL",C,cand141573,H8GA120522018,NH8GA12052,-1.301,federal:house,nesmith,michael,-1.301,,,GA12,C,"Nesmith, Michael",nesmith_michael,democrat,2,general_wayback,GA12,"Nesmith, Michael_2018_2",False,
Ryan A Costello,PA,6.0,house,2018,R,6.0,H0PA06076,"COSTELLO, RYAN A",I,cand38938,H0PA060762018,N00031064,0.826,federal:house,costello,ryan,,0.217,-0.055,PA06,I,"Costello, Ryan A",costello_ryan,republican,2,general_wayback,PA06,"Costello, Ryan A_2018_2",False,
Joseph Kaufman,FL,23.0,house,2018,R,23.0,H2FL20043,"KAUFMAN, JOSEPH ""JOE""",C,cand41529,H2FL200432022,N00033516,1.409,federal:house,kaufman,joseph,1.502,,,FL23,C,"Kaufman, Joseph ""Joe""",kaufman_joseph,republican,2,general_wayback,FL23,"Kaufman, Joseph ""Joe""_2018_2",True,99446
Michael D Parrish,PA,6.0,house,2018,D,6.0,H4PA06052,"PARRISH, MICHAEL D",C,cand143527,H4PA060522016,N00035958,-0.606,federal:house,parrish,michael,,,,,,"Parrish, Michael D",parrish_michael,democrat,2,general_wayback,PA06,"Parrish, Michael D_2018_2",False,
Adrienne Bell,TX,14.0,house,2018,D,14.0,H8TX14120,"BELL, ADRIENNE",C,cand140746,H8TX141202020,NH8TX14120,-1.084,federal:house,bell,adrienne,-1.068,,,TX14,C,"Bell, Adrienne",bell_adrienne,democrat,2,general_wayback,TX14,"Bell, Adrienne_2018_2",True,92212
John Michael Galbraith,OH,5.0,house,2018,D,5.0,H8OH05150,"GALBRAITH, JOHN MICHAEL",C,cand140687,H8OH051502018,NH8OH05150,-0.977,federal:house,galbraith,john,-0.977,,,OH05,C,"Galbraith, John Michael",galbraith_john,democrat,2,general_wayback,OH05,"Galbraith, John Michael_2018_2",True,99655
Cathy Mcmorris Rodgers,WA,5.0,house,2018,R,5.0,H4WA05077,"MCMORRIS RODGERS, CATHY",I,cand958,205352022,N00026314,1.086,federal:house,mcmorris rodgers,cathy,1.078,0.432,0.109,WA05,I,"Mcmorris Rodgers, Cathy",mcmorrisrodgers_cathy,republican,2,general_wayback,WA05,"Mcmorris Rodgers, Cathy_2018_2",True,175422
Rich Eichholz,MI,6.0,house,2018,D,6.0,H8MI06148,"EICHHOLZ, RICH",C,cand141614,H8MI061482018,NH8MI06148,-1.089,federal:house,eichholz,rich,-1.089,,,MI06,C,"Eichholz, Rich",eichholz_rich,democrat,2,general_wayback,MI06,"Eichholz, Rich_2018_2",False,
Ronald David Slotin,GA,6.0,house,2018,D,6.0,H8GA06245,"SLOTIN, RONALD DAVID",O,cand151816,H8GA062452018,NH8GA06245,-0.77,federal:house,slotin,ronald,-0.77,,,GA06,C,"Slotin, Ronald David",slotin_ronald,democrat,2,general_wayback,GA06,"Slotin, Ronald David_2018_2",False,
Thomas Cotton,AR,4.0,house,2018,R,4.0,H2AR04083,"COTTON, THOMAS",C,cand189537,H2AR040832012,N00033363,1.238,federal:house,cotton,thomas,,,,,,"Cotton, Thomas",cotton_thomas,republican,2,general_wayback,AR04,"Cotton, Thomas_2018_2",False,
Nicholas Richard Mr. Stankevich,NY,27.0,house,2018,D,27.0,H8NY27143,"STANKEVICH, NICHOLAS RICHARD MR.",O,cand142601,H8NY271432018,NH8NY27143,-0.731,federal:house,stankevich,nicholas,-0.731,,,NY27,C,"Stankevich, Nicholas Richard Mr.",stankevich_nicholas,democrat,2,general_wayback,NY27,"Stankevich, Nicholas Richard Mr._2018_2",False,
Lisa Battista,CA,10.0,house,2018,D,10.0,H8CA10134,"BATTISTA, LISA",C,,,,,,,,,,,,,"Battista, Lisa",battista_lisa,democrat,2,general_wayback,CA10,"Battista, Lisa_2018_2",False,
Conor Lamb,PA,17.0,house,2018,D,17.0,H8PA18181,"LAMB, CONOR",I,cand142746,H8PA181812020,NH8PA18181,-0.979,federal:house,lamb,conor,-0.998,-0.143,0.212,PA17,O,"Lamb, Conor",lamb_conor,democrat,2,general_wayback,PA17,"Lamb, Conor_2018_2",True,183162
Barry Michaels,NV,3.0,house,2018,D,3.0,H6NV03014,"MICHAELS, BARRY",O,,,,,,,,,,,,,"Michaels, Barry",michaels_barry,democrat,2,general_wayback,NV03,"Michaels, Barry_2018_2",False,
George T Erdel,TN,6.0,house,2018,D,6.0,H0TN06265,"ERDEL, GEORGE T",O,,,,,,,,,,,,,"Erdel, George T",erdel_george,democrat,2,general_wayback,TN06,"Erdel, George T_2018_2",False,
Ivan Arturo Andarza,TX,21.0,house,2018,R,21.0,H8TX21265,"ANDARZA, IVAN ARTURO",O,cand142786,H8TX212652018,NH8TX21265,1.477,federal:house,andarza,ivan,1.477,,,TX21,C,"Andarza, Ivan Arturo",andarza_ivan,republican,2,general_wayback,TX21,"Andarza, Ivan Arturo_2018_2",False,
Charlie Joseph Crist,FL,13.0,house,2018,D,13.0,H6FL13205,"CRIST, CHARLIE JOSEPH",I,cand106118,H6FL132052022,NH6FL13205,0.53,federal:house,crist,charlie,0.14,-0.227,0.079,FL13,I,"Crist, Charlie Joseph",crist_charlie,democrat,2,general_wayback,FL13,"Crist, Charlie Joseph_2018_2",True,182717
Donald W Norcross,NJ,1.0,house,2018,D,1.0,H4NJ01084,"NORCROSS, DONALD W",I,cand186706,H4NJ010842022,N00036154,-0.215,federal:house,norcross,donald,-0.152,-0.422,0.328,NJ01,I,"Norcross, Donald W",norcross_donald,democrat,2,general_wayback,NJ01,"Norcross, Donald W_2018_2",True,169628
Joaquin Castro,TX,20.0,house,2018,D,20.0,H2TX35011,"CASTRO, JOAQUIN",I,cand45198,H2TX350112022,N00033316,-0.701,federal:house,castro,joaquin,-0.804,-0.402,-0.065,TX20,I,"Castro, Joaquin",castro_joaquin,democrat,2,general_wayback,TX20,"Castro, Joaquin_2018_2",True,139038
Larry Rader,LA,3.0,house,2018,D,3.0,H6LA03155,"RADER, LARRY",C,cand125232,H6LA031552018,NH6LA03155,-0.818,federal:house,rader,larry,-1.083,,,LA03,C,"Rader, Larry",rader_larry,democrat,2,general_wayback,LA03,"Rader, Larry_2018_2",True,9692
