candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words,text_quality,candidate_icpsr,name_key,candidate_year_stage,cand_id,bonica_rid,ICPSR,NID,cand_ici,party_icpsr,district_num,district_id,seat,data_source,cfscore,cfscore_dyn,dwnom1,dwnom2
Letitia Plummer,TX,22.0,house,2018,D,2,20181119103604,8,106,homepage;other,https://letitiaplummer2018.com,517291,57968,usable,"Plummer, Letitia",plummer_letitia,"Plummer, Letitia_2018_2",H8TX22206,cand140755,H8TX222062018,NH8TX22206,C,democrat,22.0,TX22,federal:house,general_wayback,-0.872,-0.872,,
John Biggan,TX,24.0,house,2018,D,2,20180924142810,7,1,homepage,https://bigganfortexas.com,294,39,thin,"Biggan, John",biggan_john,"Biggan, John_2018_2",H8TX24111,cand142791,H8TX241112020,NH8TX24111,C,democrat,24.0,TX24,federal:house,general_wayback,-1.055,-0.981,,
John Meyer,MT,0.0,house,2018,D,2,20181119100159,11,2,action;homepage,https://meyerformontana.com,6476,999,usable,"Meyer, John",meyer_john,"Meyer, John_2018_2",H8MT01265,,,,C,democrat,0.0,MT01,,general_wayback,,,,
James Lloyd Matlock,TN,2.0,house,2018,R,2,20180708024633,3,11,homepage;other,https://www.matlockforcongress.com,39480,5735,usable,"Matlock, James Lloyd",matlock_james,"Matlock, James Lloyd_2018_2",H8TN02127,cand141690,H8TN021272018,NH8TN02127,O,republican,2.0,TN02,federal:house,general_wayback,1.274,1.274,,
Tahirah Amatul-Wadud,MA,1.0,house,2018,D,2,20181226171350,15,5,homepage;other,https://tahirahforcongress.com,37556,5508,usable,"Amatul-Wadud, Tahirah",amatulwadud_tahirah,"Amatul-Wadud, Tahirah_2018_2",H8MA01050,cand143179,H8MA010502018,NH8MA01050,C,democrat,1.0,MA01,federal:house,general_wayback,-1.329,-1.329,,
Mark Eugene Eugene Amodei,NV,2.0,house,2018,R,2,20181218213121,27,1,homepage,https://amodeifornevada.com,10338,1434,usable,"Amodei, Mark Eugene Eugene",amodei_mark,"Amodei, Mark Eugene Eugene_2018_2",H2NV02395,cand1184,H2NV023952022,N00031177,I,republican,2.0,NV02,federal:house,general_wayback,1.018,1.071,0.387,0.194
Stuart Starr,TN,2.0,house,2018,D,2,20180321001607,1,1,homepage,https://starr4congress.com,3467,24,usable,"Starr, Stuart",starr_stuart,"Starr, Stuart_2018_2",H6TN02147,cand138248,H6TN021472016,NH6TN02147,C,democrat,2.0,TN02,federal:house,general_wayback,-1.259,,,
Michelle Mortensen,NV,3.0,house,2018,R,2,20181218212416,5,4,action;homepage;issues;news,https://michellemortensen.com,16539,2641,usable,"Mortensen, Michelle",mortensen_michelle,"Mortensen, Michelle_2018_2",H8NV03218,cand142580,H8NV032182018,NH8NV03218,O,republican,3.0,NV03,federal:house,general_wayback,1.226,0.308,,
Wendy May,NC,2.0,house,2018,D,2,20180327174649,8,3,homepage;other,https://wendymayforcongress.com,46543,7434,usable,"May, Wendy",may_wendy,"May, Wendy_2018_2",H8NC02078,cand141160,H8NC020782018,NH8NC02078,C,democrat,2.0,NC02,federal:house,general_wayback,-1.143,-1.143,,
Sheryl Francys Alu Campagna,HI,2.0,house,2018,D,2,20180121093741,14,5,action;biography;homepage;other,https://www.sherryforhawaii.com,8115,1045,usable,"Alu Campagna, Sheryl Francys",alucampagna_sheryl,"Alu Campagna, Sheryl Francys_2018_2",H8HI02133,cand142464,H8HI021332018,NH8HI02133,C,democrat,2.0,HI02,federal:house,general_wayback,-1.001,-1.001,,
Michael Nesmith,GA,12.0,house,2018,D,2,20180712093006,11,3,homepage;issues,https://votetrent.com,1707,197,usable,"Nesmith, Michael",nesmith_michael,"Nesmith, Michael_2018_2",H8GA12052,cand141573,H8GA120522018,NH8GA12052,C,democrat,12.0,GA12,federal:house,general_wayback,-1.301,-1.301,,
Ryan A Costello,PA,6.0,house,2018,R,2,20180103112632,1,1,homepage,https://www.ryancostelloforcongress.com,1989,224,usable,"Costello, Ryan A",costello_ryan,"Costello, Ryan A_2018_2",H0PA06076,cand38938,H0PA060762018,N00031064,I,republican,6.0,PA06,federal:house,general_wayback,0.826,,0.217,-0.055
Joseph Kaufman,FL,23.0,house,2018,R,2,20180216230642,4,2,homepage;other,https://www.kaufmanforcongress.com,37366,5724,usable,"Kaufman, Joseph ""Joe""",kaufman_joseph,"Kaufman, Joseph ""Joe""_2018_2",H2FL20043,cand41529,H2FL200432022,N00033516,C,republican,23.0,FL23,federal:house,general_wayback,1.409,1.502,,
Michael D Parrish,PA,6.0,house,2018,D,2,20180315190424,1,10,homepage;news;other,http://www.parrishforcongress.com,25320,3508,usable,"Parrish, Michael D",parrish_michael,"Parrish, Michael D_2018_2",H4PA06052,cand143527,H4PA060522016,N00035958,C,democrat,6.0,PA06,federal:house,general_wayback,-0.606,,,
Adrienne Bell,TX,14.0,house,2018,D,2,20180425213901,23,1,homepage,https://bell2018.com,9438,1437,usable,"Bell, Adrienne",bell_adrienne,"Bell, Adrienne_2018_2",H8TX14120,cand140746,H8TX141202020,NH8TX14120,C,democrat,14.0,TX14,federal:house,general_wayback,-1.084,-1.068,,
John Michael Galbraith,OH,5.0,house,2018,D,2,20181119101359,15,17,action;endorsements;homepage;issues;other,https://www.galbraithforcongress.com,42038,5431,usable,"Galbraith, John Michael",galbraith_john,"Galbraith, John Michael_2018_2",H8OH05150,cand140687,H8OH051502018,NH8OH05150,C,democrat,5.0,OH05,federal:house,general_wayback,-0.977,-0.977,,
Cathy Mcmorris Rodgers,WA,5.0,house,2018,R,2,20180427195800,56,4,homepage;news;other,https://cathyforcongress.com,28050,3750,usable,"Mcmorris Rodgers, Cathy",mcmorrisrodgers_cathy,"Mcmorris Rodgers, Cathy_2018_2",H4WA05077,cand958,205352022,N00026314,I,republican,5.0,WA05,federal:house,general_wayback,1.086,1.078,0.432,0.109
Rich Eichholz,MI,6.0,house,2018,D,2,20180618151234,19,2,homepage;other,https://www.richeichholz.com,5065,727,usable,"Eichholz, Rich",eichholz_rich,"Eichholz, Rich_2018_2",H8MI06148,cand141614,H8MI061482018,NH8MI06148,C,democrat,6.0,MI06,federal:house,general_wayback,-1.089,-1.089,,
Ronald David Slotin,GA,6.0,house,2018,D,2,20181221164217,6,1,homepage,https://www.votinforslotin.com,1067,133,thin,"Slotin, Ronald David",slotin_ronald,"Slotin, Ronald David_2018_2",H8GA06245,cand151816,H8GA062452018,NH8GA06245,O,democrat,6.0,GA06,federal:house,general_wayback,-0.77,-0.77,,
Thomas Cotton,AR,4.0,house,2018,R,2,20180413005603,7,6,biography;homepage;news;other,https://www.tomcotton.com,16876,2376,usable,"Cotton, Thomas",cotton_thomas,"Cotton, Thomas_2018_2",H2AR04083,cand189537,H2AR040832012,N00033363,C,republican,4.0,AR04,federal:house,general_wayback,1.238,,,
Nicholas Richard Mr. Stankevich,NY,27.0,house,2018,D,2,20180107031103,9,1,homepage,https://www.nickforny27.com,2733,405,usable,"Stankevich, Nicholas Richard Mr.",stankevich_nicholas,"Stankevich, Nicholas Richard Mr._2018_2",H8NY27143,cand142601,H8NY271432018,NH8NY27143,O,democrat,27.0,NY27,federal:house,general_wayback,-0.731,-0.731,,
Lisa Battista,CA,10.0,house,2018,D,2,20180203135121,2,1,homepage,https://battistaforcongress.com,2319,373,usable,"Battista, Lisa",battista_lisa,"Battista, Lisa_2018_2",H8CA10134,,,,C,democrat,10.0,CA10,,general_wayback,,,,
Conor Lamb,PA,17.0,house,2018,D,2,20181003131213,84,16,action;biography;homepage;issues;other,https://conorlamb.com,41215,4940,usable,"Lamb, Conor",lamb_conor,"Lamb, Conor_2018_2",H8PA18181,cand142746,H8PA181812020,NH8PA18181,I,democrat,17.0,PA17,federal:house,general_wayback,-0.979,-0.998,-0.143,0.212
Barry Michaels,NV,3.0,house,2018,D,2,20181118191004,5,31,action;homepage;issues;news;other,https://michaelsforcongress.com,191002,27673,usable,"Michaels, Barry",michaels_barry,"Michaels, Barry_2018_2",H6NV03014,,,,O,democrat,3.0,NV03,,general_wayback,,,,
George T Erdel,TN,6.0,house,2018,D,2,20180804205826,1,33,homepage;other,https://georgefortennessee.com,131963,645,usable,"Erdel, George T",erdel_george,"Erdel, George T_2018_2",H0TN06265,,,,O,democrat,6.0,TN06,,general_wayback,,,,
Ivan Arturo Andarza,TX,21.0,house,2018,R,2,20180212090248,13,1,homepage,https://voteandarza.com,1455,211,thin,"Andarza, Ivan Arturo",andarza_ivan,"Andarza, Ivan Arturo_2018_2",H8TX21265,cand142786,H8TX212652018,NH8TX21265,O,republican,21.0,TX21,federal:house,general_wayback,1.477,1.477,,
Charlie Joseph Crist,FL,13.0,house,2018,D,2,20181215052858,11,1,homepage,https://charliecrist.com,199,15,thin,"Crist, Charlie Joseph",crist_charlie,"Crist, Charlie Joseph_2018_2",H6FL13205,cand106118,H6FL132052022,NH6FL13205,I,democrat,13.0,FL13,federal:house,general_wayback,0.53,0.14,-0.227,0.079
Donald W Norcross,NJ,1.0,house,2018,D,2,20180103030236,12,13,biography;homepage;issues;news;other,https://www.donaldnorcrossforcongress.com,62598,9204,usable,"Norcross, Donald W",norcross_donald,"Norcross, Donald W_2018_2",H4NJ01084,cand186706,H4NJ010842022,N00036154,I,democrat,1.0,NJ01,federal:house,general_wayback,-0.215,-0.152,-0.422,0.328
Joaquin Castro,TX,20.0,house,2018,D,2,20181106135033,32,10,homepage;other,https://www.castroforcongress.com,15054,2033,usable,"Castro, Joaquin",castro_joaquin,"Castro, Joaquin_2018_2",H2TX35011,cand45198,H2TX350112022,N00033316,I,democrat,20.0,TX20,federal:house,general_wayback,-0.701,-0.804,-0.402,-0.065
Larry Rader,LA,3.0,house,2018,D,2,20181023201903,4,4,action;biography;homepage;issues,https://larryraderforcongress.com,7925,1183,usable,"Rader, Larry",rader_larry,"Rader, Larry_2018_2",H6LA03155,cand125232,H6LA031552018,NH6LA03155,C,democrat,3.0,LA03,federal:house,general_wayback,-0.818,-1.083,,
Mario Diaz-Balart,FL,25.0,house,2018,R,2,20180911184542,2,2,homepage,https://www.mariodiazbalart.com,9443,913,usable,"Diaz-Balart, Mario",diazbalart_mario,"Diaz-Balart, Mario_2018_2",H2FL25018,cand882,203162022,N00025337,I,republican,25.0,FL25,federal:house,general_wayback,0.604,0.578,0.284,0.14
Mitchell Cobert,NJ,11.0,house,2018,D,2,20180123113322,18,1,homepage,http://cobertforcongress.com/,6256,947,usable,"Cobert, Mitchell",cobert_mitchell,"Cobert, Mitchell_2018_2",H8NJ11191,cand142574,H8NJ111912018,NH8NJ11191,O,democrat,11.0,NJ11,federal:house,general_wayback,-0.574,-0.574,,
Jason Emert,TN,2.0,house,2018,R,2,20180726072316,6,8,action;biography;homepage;issues;news;other,https://www.jasonemert.com,17538,2520,usable,"Emert, Jason",emert_jason,"Emert, Jason_2018_2",H8TN02200,cand142756,H8TN022002018,NH8TN02200,O,republican,2.0,TN02,federal:house,general_wayback,1.2,1.329,,
Gerald Wong,NC,6.0,house,2018,D,2,20181228201348,11,11,homepage;news;other,https://www.wongforcongress.com,34860,5527,usable,"Wong, Gerald",wong_gerald,"Wong, Gerald_2018_2",H8NC06095,,,,C,democrat,6.0,NC06,,general_wayback,,,,
