candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words,text_quality
Letitia Plummer,TX,22.0,house,2018,D,2,20181119103604,8,106,homepage;other,https://letitiaplummer2018.com,517291,57968,usable
John Biggan,TX,24.0,house,2018,D,2,20180924142810,7,1,homepage,https://bigganfortexas.com,294,39,thin
John Meyer,MT,0.0,house,2018,D,2,20181119100159,11,2,action;homepage,https://meyerformontana.com,6476,999,usable
James Lloyd Matlock,TN,2.0,house,2018,R,2,20180708024633,3,11,homepage;other,https://www.matlockforcongress.com,39480,5735,usable
Tahirah Amatul-Wadud,MA,1.0,house,2018,D,2,20181226171350,15,5,homepage;other,https://tahirahforcongress.com,37556,5508,usable
Mark Eugene Eugene Amodei,NV,2.0,house,2018,R,2,20181218213121,27,1,homepage,https://amodeifornevada.com,10338,1434,usable
Stuart Starr,TN,2.0,house,2018,D,2,20180321001607,1,1,homepage,https://starr4congress.com,3467,24,usable
Michelle Mortensen,NV,3.0,house,2018,R,2,20181218212416,5,4,action;homepage;issues;news,https://michellemortensen.com,16539,2641,usable
Wendy May,NC,2.0,house,2018,D,2,20180327174649,8,3,homepage;other,https://wendymayforcongress.com,46543,7434,usable
Sheryl Francys Alu Campagna,HI,2.0,house,2018,D,2,20180121093741,14,5,action;biography;homepage;other,https://www.sherryforhawaii.com,8115,1045,usable
Michael Nesmith,GA,12.0,house,2018,D,2,20180712093006,11,3,homepage;issues,https://votetrent.com,1707,197,usable
Ryan A Costello,PA,6.0,house,2018,R,2,20180103112632,1,1,homepage,https://www.ryancostelloforcongress.com,1989,224,usable
Joseph Kaufman,FL,23.0,house,2018,R,2,20180216230642,4,2,homepage;other,https://www.kaufmanforcongress.com,37366,5724,usable
Michael D Parrish,PA,6.0,house,2018,D,2,20180315190424,1,10,homepage;news;other,http://www.parrishforcongress.com,25320,3508,usable
Adrienne Bell,TX,14.0,house,2018,D,2,20180425213901,23,1,homepage,https://bell2018.com,9438,1437,usable
John Michael Galbraith,OH,5.0,house,2018,D,2,20181119101359,15,17,action;endorsements;homepage;issues;other,https://www.galbraithforcongress.com,42038,5431,usable
Cathy Mcmorris Rodgers,WA,5.0,house,2018,R,2,20180427195800,56,4,homepage;news;other,https://cathyforcongress.com,28050,3750,usable
Rich Eichholz,MI,6.0,house,2018,D,2,20180618151234,19,2,homepage;other,https://www.richeichholz.com,5065,727,usable
Ronald David Slotin,GA,6.0,house,2018,D,2,20181221164217,6,1,homepage,https://www.votinforslotin.com,1067,133,thin
Thomas Cotton,AR,4.0,house,2018,R,2,20180413005603,7,6,biography;homepage;news;other,https://www.tomcotton.com,16876,2376,usable
Nicholas Richard Mr. Stankevich,NY,27.0,house,2018,D,2,20180107031103,9,1,homepage,https://www.nickforny27.com,2733,405,usable
Lisa Battista,CA,10.0,house,2018,D,2,20180203135121,2,1,homepage,https://battistaforcongress.com,2319,373,usable
Conor Lamb,PA,17.0,house,2018,D,2,20181003131213,84,16,action;biography;homepage;issues;other,https://conorlamb.com,41215,4940,usable
Barry Michaels,NV,3.0,house,2018,D,2,20181118191004,5,31,action;homepage;issues;news;other,https://michaelsforcongress.com,191002,27673,usable
George T Erdel,TN,6.0,house,2018,D,2,20180804205826,1,33,homepage;other,https://georgefortennessee.com,131963,645,usable
Ivan Arturo Andarza,TX,21.0,house,2018,R,2,20180212090248,13,1,homepage,https://voteandarza.com,1455,211,thin
Charlie Joseph Crist,FL,13.0,house,2018,D,2,20181215052858,11,1,homepage,https://charliecrist.com,199,15,thin
Donald W Norcross,NJ,1.0,house,2018,D,2,20180103030236,12,13,biography;homepage;issues;news;other,https://www.donaldnorcrossforcongress.com,62598,9204,usable
