candidate,state,district,office,year,party,website_url,has_url,captured
 Hoggatt,LA,03,house,2022,R,https://hoggattforcongress.com,True,True
 Hoggatt,LA,03,house,2024,R,https://hoggattforcongress.com,True,True
(Leila)Shukri Bashir Ms Adan,MN,05,house,2020,D,https://leilaforcd5.com,True,False
(Leila)Shukri Bashir Ms Adan,MN,05,house,2022,D,https://leilaforcd5.com,True,False
(Leila)Shukri Bashir Ms Adan,MN,05,house,2024,D,https://leilaforcd5.com,True,False
A. Rocky Raczkowski,MI,11,house,2018,R,https://www.rockyworksforus.com,True,True
A. Rocky Raczkowski,MI,11,house,2020,R,https://www.rockyworksforus.com,True,True
A.B. Iii Chandler,KY,06,house,2018,D,https://chandlerforcongress.org,True,False
A.B. Iii Chandler,KY,06,house,2020,D,https://chandlerforcongress.org,True,False
Aarika Samone Rhodes,CA,30,house,2020,D,https://www.aarikaforcongress.com/,True,True
Aarika Samone Rhodes,CA,32,house,2022,D,https://www.aarikaforcongress.com/,True,True
Aarika Samone Rhodes,CA,32,house,2024,D,https://www.aarikaforcongress.com/,True,False
Aaron Amede,ME,01,house,2022,D,https://amedeforcongress.com,True,True
Aaron Amede,ME,01,house,2024,D,https://amedeforcongress.com,True,False
Aaron Anthony,PA,12,house,2018,D,http://www.flipthe12th.us/,True,True
Aaron Arguijo,TX,00,senate,2022,D,https://www.aaronarguijo.com,True,True
Aaron Arguijo,TX,00,senate,2024,D,https://www.aaronarguijo.com,True,False
Aaron Baker,FL,06,house,2024,R,https://aaron4fl6.com,True,True
Aaron Bashir,PA,02,house,2024,R,https://www.bashirforcongress.com,True,True
Aaron Gray O'Neal,NC,00,senate,2014,R,https://holdontoliberty.com,True,True
Aaron Gray O'Neal,NC,00,senate,2016,R,https://holdontoliberty.com,True,False
Aaron Gray O'Neal,NC,00,senate,2018,R,https://holdontoliberty.com,True,False
Aaron Hansen,WA,06,house,2022,R,https://aaron4congress.com,True,False
Aaron Hermes,TX,22,house,2020,R,https://votehermes.com,True,False
Aaron James Dagres,OH,12,house,2018,D,https://www.dagresforcongress,True,False
Aaron Joseph Schaler,IN,05,house,2018,D,https://www.aaronforindiana.com,True,False
Aaron Joseph Schaler,IN,05,house,2020,D,https://www.aaronforindiana.com,True,False
Aaron L Packard,MA,00,senate,2024,R,https://packard4ussenate.com,True,True
Aaron L Pettigrew,TN,00,senate,2018,R,https://www.aaronpettigrewforsenate.com,True,False
Aaron Lee Cherry,NY,05,house,2024,R,https://aaron8209.rsvp@google,False,False
Aaron Leo Pettigrew,TN,00,senate,2020,R,https://www.aaronpettigrewforsenate.com,True,True
Aaron Leo Pettigrew,TN,00,senate,2022,R,https://www.aaronpettigrewforsenate.com,True,False
Aaron Leo Pettigrew,TN,00,senate,2024,R,https://www.aaronpettigrewforsenate.com,True,False
Aaron Michael Bush,IN,02,house,2018,D,https://facebook.com/electaaronbush,False,False
Aaron Michael Bush,IN,02,house,2020,D,https://facebook.com/electaaronbush,False,False
Aaron Michael Sims,NV,02,house,2022,D,https://www.simsfornevada.com,True,True
Aaron Michael Sims,NV,02,house,2024,D,https://www.simsfornevada.com,True,False
Aaron Nettles,CA,44,house,2020,D,https://nettlesforcongress.org,True,True
Aaron Nettles,CA,44,house,2022,D,https://nettlesforcongress.org,True,False
Aaron Nettles,CA,44,house,2024,D,https://nettlesforcongress.org,True,False
Aaron Nytes,WI,03,house,2024,D,https://aaronnytes.com,True,True
Aaron P. Bean,FL,04,house,2022,R,https://www.aaronbean.com,True,True
Aaron P. Bean,FL,04,house,2024,R,https://www.aaronbean.com,True,True
Aaron Paul Godfrey,OH,16,house,2018,D,https://www.godfreyforcongress.com,True,True
Aaron Paul Godfrey,OH,16,house,2020,D,https://www.godfreyforcongress.com,True,True
Aaron Paul Godfrey,OH,16,house,2022,D,https://www.godfreyforcongress.com,True,True
Aaron Paul Godfrey,OH,16,house,2024,D,https://www.godfreyforcongress.com,True,False
Aaron Price,NY,22,house,2018,R,https://www.aaronpriceforcongress.com,True,False
Aaron Regunberg,RI,01,house,2024,D,https://www.aaronregunberg.com/,True,True
Aaron Scanlan,FL,21,house,2020,R,https://www.electscanlan.com,True,True
Aaron Scanlan,FL,21,house,2022,R,https://www.electscanlan.com,True,True
Aaron Scheinberg,WV,02,house,2018,D,https://scheinbergforcongress.com/,True,False
Aaron Scheinberg,WV,02,house,2020,D,https://scheinbergforcongress.com/,True,True
Aaron Storer,IN,01,house,2022,R,https://aaronstorerforcongress.com,True,True
